   OBS          S0          Sg
   258       .80303      .93841
   259       .75660     1.04781
   260       .45042     1.12876
   261       .87263     1.19017
   262      1.18160     1.21692
   263      1.38878     1.22009
   264      1.52663     1.18683
   265       .96564     1.13006
   266       .89871     1.03818
   267       .62407      .92493
   268       .89844      .77951
   269      1.34913      .61701
   270       .65094      .42859
   271       .06147      .23155
   272       .00572      .01907
   273       .07092     -.19038
   274       .23007     -.40353
   275       .34184     -.60264
   276      -.36925     -.79553
   277      -.47597     -.96541
   278      -.94142    -1.12069
   279      -.71322    -1.24492
   280     -1.12704    -1.34717
   281     -2.76132    -1.41238
   282     -2.85726    -1.45187
   283     -2.85407    -1.45347
   284     -2.49866    -1.43137
   285     -1.75750    -1.37567
   286     -1.50960    -1.30196
   287     -1.56642    -1.20090
   288      -.73251    -1.08829
   289      -.28502     -.95516
   290       .16580     -.81797
   291       .44536     -.66861
   292       .83803     -.52406
   293       .59572     -.37587
   294       .28116     -.23968
   295       .12388     -.10488
   296      -.17511      .01525
   297       .05815      .13330
   298      -.28476      .23719
   299      -.97136      .34000
   300      -.13732      .42985
   301       .35687      .52017
   302       .56006      .59988
   303       .82659      .68337
   304       .92998      .76026
   305       .75912      .84490
   306       .78174      .92575
   307       .66784     1.01513
   308      1.12358     1.09917
   309       .92785     1.18814
   310       .95619     1.26689
   311      1.62244     1.34510
   312      1.92662     1.40734
   313      2.06234     1.46290
   314      1.61472     1.49558
   315      1.45784     1.51369
   316      1.25585     1.50032
   317       .94435     1.46395
   318       .70217     1.38903
   319       .91215     1.28647
   320       .73304     1.14366
   321      1.04574      .97438
   322      1.65424      .76835
   323       .76139      .54107
   324      -.12934      .28380
   325       .14650      .01376
   326      -.13706     -.27556
   327       .50763     -.56440
   328      -.10485     -.85700
   329      -.43073    -1.13214
   330      -.33585    -1.39391
   331     -1.33981    -1.62224
   332     -2.41363    -1.82311
   333     -3.81878    -1.97858
   334     -3.51526    -2.09652
   335     -3.04262    -2.16058
   336     -3.90833    -2.18035
   337     -2.84076    -2.14175
   338     -1.51373    -2.05751
   339      -.91295    -1.91739
   340      -.76950    -1.73820
   341       .03726    -1.51327
   342       .35341    -1.26193
   343       .34104     -.97899
   344      -.70271     -.68451
   345      -.90084     -.37382
