 149    1959       5     MAY1959    3.21000
 150    1959       6     JUN1959    3.23000
 151    1959       7     JUL1959    3.11000
 152    1959       8     AUG1959    3.14000
 153    1959       9     SEP1959    3.26000
 154    1959      10     OCT1959    3.26000
 155    1959      11     NOV1959    3.24000
 156    1959      12     DEC1959    3.18000
 157    1960       1     JAN1960    3.27000
 158    1960       2     FEB1960    3.44000
 159    1960       3     MAR1960    3.51000
 160    1960       4     APR1960    3.47000
 161    1960       5     MAY1960    3.51000
 162    1960       6     JUN1960    3.40000
 163    1960       7     JUL1960    3.49000
 164    1960       8     AUG1960    3.43000
 165    1960       9     SEP1960    3.55000
 166    1960      10     OCT1960    3.60000
 167    1960      11     NOV1960    3.51000
 168    1960      12     DEC1960    3.41000
 169    1961       1     JAN1961    3.28000
 170    1961       2     FEB1961    3.13000
 171    1961       3     MAR1961    3.03000
 172    1961       4     APR1961    2.95000
 173    1961       5     MAY1961    2.92000
 174    1961       6     JUN1961    2.99000
 175    1961       7     JUL1961    2.99000
 176    1961       8     AUG1961    2.91000
 177    1961       9     SEP1961    2.93000
 178    1961      10     OCT1961    2.91000
 179    1961      11     NOV1961    2.83000
 180    1961      12     DEC1961    2.85000
 181    1962       1     JAN1962    2.97000
 182    1962       2     FEB1962    2.95000
 183    1962       3     MAR1962    2.95000
 184    1962       4     APR1962    3.05000
 185    1962       5     MAY1962    3.32000
 186    1962       6     JUN1962    3.78000
 187    1962       7     JUL1962    3.68000
 188    1962       8     AUG1962    3.57000
 189    1962       9     SEP1962    3.60000
 190    1962      10     OCT1962    3.71000
 191    1962      11     NOV1962    3.50000
 192    1962      12     DEC1962    3.40000
 193    1963       1     JAN1963    3.31000
 194    1963       2     FEB1963    3.27000
 195    1963       3     MAR1963    3.28000
 196    1963       4     APR1963    3.15000
 197    1963       5     MAY1963    3.13000
 198    1963       6     JUN1963    3.16000
 199    1963       7     JUL1963    3.20000
 200    1963       8     AUG1963    3.13000
 201    1963       9     SEP1963    3.06000
 202    1963      10     OCT1963    3.05000
 203    1963      11     NOV1963    3.14000
 204    1963      12     DEC1963    3.13000
 205    1964       1     JAN1964    3.06000
 206    1964       2     FEB1964    3.05000
 207    1964       3     MAR1964    3.03000
 208    1964       4     APR1964    3.00000
 209    1964       5     MAY1964    3.01000
 210    1964       6     JUN1964    3.05000
 211    1964       7     JUL1964    2.96000
 212    1964       8     AUG1964    3.03000
 213    1964       9     SEP1964    3.00000
 214    1964      10     OCT1964    2.95000
 215    1964      11     NOV1964    2.96000
 216    1964      12     DEC1964    3.05000
 217    1965       1     JAN1965    2.99000
 218    1965       2     FEB1965    2.99000
 219    1965       3     MAR1965    2.99000
 220    1965       4     APR1965    2.95000
 221    1965       5     MAY1965    2.92000
 222    1965       6     JUN1965    3.07000
 223    1965       7     JUL1965    3.09000
 224    1965       8     AUG1965    3.06000
 225    1965       9     SEP1965    2.98000
 226    1965      10     OCT1965    2.91000
 227    1965      11     NOV1965    2.96000
 228    1965      12     DEC1965    3.06000
 229    1966       1     JAN1966    3.02000
 230    1966       2     FEB1966    3.06000
 231    1966       3     MAR1966    3.23000
 232    1966       4     APR1966    3.15000
 233    1966       5     MAY1966    3.30000
 234    1966       6     JUN1966    3.36000
 235    1966       7     JUL1966    3.37000
 236    1966       8     AUG1966    3.60000
 237    1966       9     SEP1966    3.75000
 238    1966      10     OCT1966    3.76000
 239    1966      11     NOV1966    3.66000
 240    1966      12     DEC1966    3.59000
 241    1967       1     JAN1967    3.51000
 242    1967       2     FEB1967    3.36000
 243    1967       3     MAR1967    3.29000
 244    1967       4     APR1967    3.24000
 245    1967       5     MAY1967    3.19000
 246    1967       6     JUN1967    3.19000
 247    1967       7     JUL1967    3.15000
 248    1967       8     AUG1967    3.11000
 249    1967       9     SEP1967    3.07000
 250    1967      10     OCT1967    3.07000
 251    1967      11     NOV1967    3.18000
 252    1967      12     DEC1967    3.09000
 253    1968       1     JAN1968    3.13000
 254    1968       2     FEB1968    3.28000
 255    1968       3     MAR1968    3.34000
 256    1968       4     APR1968    3.12000
 257    1968       5     MAY1968    3.07000
 258    1968       6     JUN1968    3.00000
 259    1968       7     JUL1968    3.00000
 260    1968       8     AUG1968    3.09000
 261    1968       9     SEP1968    3.01000
 262    1968      10     OCT1968    2.94000
 263    1968      11     NOV1968    2.92000
 264    1968      12     DEC1968    2.93000
 265    1969       1     JAN1969    3.06000
 266    1969       2     FEB1969    3.10000
 267    1969       3     MAR1969    3.17000
 268    1969       4     APR1969    3.11000
 269    1969       5     MAY1969    3.02000
 270    1969       6     JUN1969    3.18000
 271    1969       7     JUL1969    3.34000
 272    1969       8     AUG1969    3.37000
 273    1969       9     SEP1969    3.33000
 274    1969      10     OCT1969    3.33000
 275    1969      11     NOV1969    3.31000
 276    1969      12     DEC1969    3.52000
 277    1970       1     JAN1970    3.56000
 278    1970       2     FEB1970    3.68000
 279    1970       3     MAR1970    3.60000
