,Month,Year,,,,,,,,,,,
1-Sep-15,09,2015,4620.160156,,,,,,,,,,
1-Oct-15,10,2015,5053.75,,,,,,,,,,
2-Nov-15,11,2015,5108.669922,,,,,,,,,,
1-Dec-15,12,2015,5007.410156,,,,,,,,,,
4-Jan-16,01,2016,4613.950195,,,,,,,,,,
1-Feb-16,02,2016,4557.950195,,,,,,,,,,
1-Mar-16,03,2016,4869.850098,,,,,,,,,,
1-Apr-16,04,2016,4775.359863,,,,,,,,,,
2-May-16,05,2016,4948.049805,,,,,,,,,,
1-Jun-16,06,2016,4842.669922,,,,,,,,,,
1-Jul-16,07,2016,5162.129883,,,,,,,,,,
1-Aug-16,08,2016,5159.740234,,,,,,,,,,
