1994,10,777.48999
1994,11,750.320007
1994,12,751.960022
1995,1,755.200012
1995,2,793.72998
1995,3,817.210022
1995,4,843.97998
1995,5,864.580017
1995,6,933.450012
1995,7,1001.210022
1995,8,1020.109985
1995,9,1043.540039
1995,10,1036.060059
1995,11,1059.199951
1995,12,1052.130005
1996,1,1059.790039
1996,2,1100.050049
1996,3,1101.400024
1996,4,1190.52002
1996,5,1243.430054
1996,6,1185.02002
1996,7,1080.589966
1996,8,1141.5
1996,9,1226.920044
1996,10,1221.51001
1996,11,1292.609985
1996,12,1291.030029
1997,1,1379.849976
1997,2,1309
1997,3,1221.699951
1997,4,1260.76001
1997,5,1400.319946
1997,6,1442.069946
1997,7,1593.810059
1997,8,1587.319946
1997,9,1685.689941
1997,10,1593.609985
1997,11,1600.550049
1997,12,1570.349976
1998,1,1619.359985
1998,2,1770.51001
1998,3,1835.680054
1998,4,1868.410034
1998,5,1778.869995
1998,6,1894.73999
1998,7,1872.390015
1998,8,1499.25
1998,9,1693.839966
1998,10,1771.390015
1998,11,1949.540039
1998,12,2192.689941
1999,1,2505.889893
1999,2,2288.030029
1999,3,2461.399902
1999,4,2542.860107
1999,5,2470.52002
1999,6,2686.120117
1999,7,2638.48999
1999,8,2739.350098
1999,9,2746.159912
1999,10,2966.429932
1999,11,3336.159912
1999,12,4069.310059
2000,1,3940.350098
2000,2,4696.689941
2000,3,4572.830078
2000,4,3860.659912
2000,5,3400.909912
2000,6,3966.110107
2000,7,3766.98999
2000,8,4206.350098
2000,9,3672.820068
2000,10,3369.629883
2000,11,2597.929932
2000,12,2470.52002
2001,1,2772.72998
2001,2,2151.830078
2001,3,1840.26001
2001,4,2116.23999
2001,5,2110.48999
2001,6,2160.540039
2001,7,2027.130005
2001,8,1805.430054
2001,9,1498.800049
2001,10,1690.199951
2001,11,1930.579956
2001,12,1950.400024
2002,1,1934.030029
2002,2,1731.48999
2002,3,1845.349976
2002,4,1688.22998
2002,5,1615.72998
2002,6,1463.209961
2002,7,1328.26001
2002,8,1314.849976
2002,9,1172.060059
2002,10,1329.75
2002,11,1478.780029
2002,12,1335.51001
2003,1,1320.910034
2003,2,1337.52002
2003,3,1341.170044
2003,4,1464.310059
2003,5,1595.910034
2003,6,1622.800049
2003,7,1735.02002
2003,8,1810.449951
2003,9,1786.939941
2003,10,1932.209961
2003,11,1960.26001
2003,12,2003.369995
2004,1,2066.149902
2004,2,2029.819946
2004,3,1994.219971
2004,4,1920.150024
2004,5,1986.73999
2004,6,2047.790039
2004,7,1887.359985
2004,8,1838.099976
2004,9,1896.839966
2004,10,1974.98999
2004,11,2096.810059
2004,12,2175.439941
2005,1,2062.409912
2005,2,2051.719971
2005,3,1999.22998
2005,4,1921.650024
2005,5,2068.219971
2005,6,2056.959961
2005,7,2184.830078
2005,8,2152.090088
2005,9,2151.689941
2005,10,2120.300049
2005,11,2232.820068
2005,12,2205.320068
2006,1,2305.820068
2006,2,2281.389893
2006,3,2339.790039
2006,4,2322.570068
2006,5,2178.879883
2006,6,2172.090088
2006,7,2091.469971
2006,8,2183.75
2006,9,2258.429932
2006,10,2366.709961
2006,11,2431.77002
2006,12,2415.290039
2007,1,2463.929932
2007,2,2416.149902
2007,3,2421.639893
2007,4,2525.090088
2007,5,2604.52002
2007,6,2603.22998
2007,7,2546.27002
2007,8,2596.360107
2007,9,2701.5
2007,10,2859.120117
2007,11,2660.959961
2007,12,2652.280029
2008,1,2389.860107
2008,2,2271.47998
2008,3,2279.100098
2008,4,2412.800049
2008,5,2522.659912
2008,6,2292.97998
2008,7,2325.550049
2008,8,2367.52002
2008,9,2091.879883
2008,10,1720.949951
2008,11,1535.569946
2008,12,1577.030029
2009,1,1476.420044
2009,2,1377.839966
2009,3,1528.589966
2009,4,1717.300049
2009,5,1774.329956
2009,6,1835.040039
2009,7,1978.5
2009,8,2009.060059
2009,9,2122.419922
2009,10,2045.109985
2009,11,2144.600098
2009,12,2269.149902
2010,1,2147.350098
2010,2,2238.26001
2010,3,2397.959961
2010,4,2461.189941
2010,5,2257.040039
2010,6,2109.23999
2010,7,2254.699951
2010,8,2114.030029
2010,9,2368.620117
2010,10,2507.409912
2010,11,2498.22998
2010,12,2652.870117
2011,1,2700.080078
2011,2,2782.27002
2011,3,2781.070068
2011,4,2873.540039
2011,5,2835.300049
2011,6,2773.52002
2011,7,2756.379883
2011,8,2579.459961
2011,9,2415.399902
2011,10,2684.409912
2011,11,2620.340088
2011,12,2605.149902
2012,1,2813.840088
2012,2,2966.889893
2012,3,3091.570068
2012,4,3046.360107
2012,5,2827.340088
2012,6,2935.050049
2012,7,2939.52002
2012,8,3066.959961
2012,9,3116.22998
2012,10,2977.22998
2012,11,3010.23999
2012,12,3019.51001
2013,1,3142.129883
2013,2,3160.189941
2013,3,3267.52002
2013,4,3328.790039
2013,5,3455.909912
2013,6,3403.25
2013,7,3626.370117
2013,8,3589.870117
2013,9,3771.47998
2013,10,3919.709961
2013,11,4059.889893
2013,12,4176.589844
2014,1,4103.879883
2014,2,4308.120117
2014,3,4198.990234
2014,4,4114.560059
2014,5,4242.620117
2014,6,4408.180176
2014,7,4369.77002
2014,8,4580.27002
2014,9,4493.390137
2014,10,4630.740234
2014,11,4791.629883
2014,12,4736.049805
2015,1,4635.240234
2015,2,4963.529785
2015,3,4900.879883
2015,4,4941.419922
2015,5,5070.029785
2015,6,4986.870117
2015,7,5128.279785
2015,8,4776.509766
2015,9,4620.160156
2015,10,5053.75
2015,11,5108.669922
2015,12,5007.410156
2016,1,4613.950195
2016,2,4557.950195
2016,3,4869.850098
2016,4,4775.359863
2016,5,4948.049805
2016,6,4842.669922
2016,7,5162.129883
2016,8,5159.740234
